time,wx,wy,wz,ax,ay,az,Bx,By,Bz
 316,-16,-6,3,-61,-192,4067,-14,-2,-93
 317,-16,-6,3,-50,-196,4067,-10,-3,-82
 318,-13,-5,1,-68,-184,4065,14,-3,-71
 319,-14,-4,1,-42,-199,4059,-1,-14,-96
 320,-15,-5,2,-42,-188,4097,-6,22,-51
 321,-15,-5,2,-45,-194,4043,-3,-10,-98
 322,-15,-6,3,-47,-198,4073,-1,5,-74
 323,-15,-6,2,-53,-189,4057,-2,-5,-103
 324,-14,-6,3,-59,-205,4066,-10,-13,-117
 325,-16,-5,4,-49,-193,4091,4,-6,-49
 326,-15,-6,2,-40,-194,4044,-2,1,-53
 327,-14,-5,3,-61,-198,4066,-14,3,-117
 328,-16,-6,2,-49,-202,4084,-13,-11,-9
 329,-15,-6,2,-63,-184,4058,-8,-4,-65
 330,-15,-5,2,-40,-195,4067,4,-15,-57
 331,-14,-7,2,-54,-190,4034,-7,-14,-85
 332,-13,-6,3,-48,-189,4065,1,-16,-71
 333,-15,-5,2,-42,-176,4055,-3,-14,-78
 334,-16,-4,3,-51,-172,4061,-7,-3,-64
 335,-14,-5,5,-52,-185,4061,-1,-15,-58
 336,-15,-5,2,-59,-197,4053,-3,-14,-74
 337,-14,-5,3,-49,-197,4065,-5,-14,-96
 338,-16,-7,3,-45,-185,4065,-5,7,-106
 339,-14,-6,3,-44,-201,4064,-3,2,-88
 340,-15,-6,3,-48,-191,4067,-12,-5,-98
 341,-16,-4,3,-51,-191,4042,-14,0,-55
 342,-13,-6,2,-53,-187,4097,10,-5,-59
 343,-13,-5,2,-51,-197,4091,12,-7,-51
 344,-12,-6,2,-50,-203,4056,-2,9,-97
 345,-13,-5,3,-49,-194,4075,36,-11,-55
 346,-15,-4,1,-49,-184,4053,12,-9,-86
 347,-13,-5,1,-45,-199,4044,3,-14,-73
 348,-13,-6,2,-49,-191,4090,-4,-22,-49
 349,-16,-5,2,-59,-183,4062,-19,-1,-140
 350,-15,-6,3,-40,-197,4078,-10,-7,-84
 351,-13,-5,2,-54,-184,4072,-19,-11,-60
 352,-14,-4,2,-49,-195,4057,-9,-15,-80
 353,-15,-4,3,-65,-206,4072,-6,-4,-87
 354,-13,-4,4,-51,-182,4038,-10,-8,-117
 355,-13,-5,3,-50,-183,4066,-14,-7,-91
 356,-16,-6,2,-36,-182,4065,3,5,-73
 357,-15,-5,4,-59,-195,4040,1,-4,-58
 358,-15,-4,3,-42,-188,4055,-19,-17,-90
 359,-15,-5,3,-56,-179,4029,14,-13,-90
 360,-17,-6,3,-49,-196,4046,18,-7,-76
 361,-16,-6,3,-45,-172,4074,17,-3,-88
 362,-14,-5,3,-43,-204,4057,-8,-26,-96
 363,-12,-5,3,-37,-201,4065,-2,2,-75
 364,-13,-6,2,-42,-207,4069,-6,-4,-83
 365,-14,-6,5,-62,-187,4042,-5,12,-84
 366,-14,-5,3,-53,-196,4078,-6,-13,-100
 367,-14,-7,1,-50,-193,4044,0,-7,-98
 368,-16,-7,2,-43,-158,4032,2,4,-72
 369,-15,-6,4,-57,-183,4036,9,-10,-101
 370,-14,-7,2,-66,-179,4051,-10,9,-95
 371,-15,-6,3,-44,-183,4032,2,-5,-70
 372,-15,-6,5,-56,-188,4032,-8,-13,-62
 373,-13,-6,2,-38,-200,4072,5,4,-59
 374,-15,-6,1,-52,-178,4079,14,-2,-86
 375,-16,-6,2,-41,-195,4063,0,-8,-59
 376,-14,-6,3,-53,-192,4052,-19,16,-85
 377,-14,-5,4,-35,-193,4056,-5,1,-57
 378,-16,-4,3,-65,-187,4072,-20,0,-65
 379,-15,-5,3,-44,-197,4048,7,-1,-73
 380,-14,-5,3,-54,-195,4081,-8,-7,-56
 381,-13,-4,2,-40,-201,4069,14,-2,-65
 382,-12,-5,3,-47,-188,4080,-10,7,-56
 383,-15,-5,2,-49,-204,4046,0,-1,-81
 384,-13,-5,4,-36,-195,4067,-1,-8,-103
 385,-16,-5,4,-42,-178,4068,1,-12,-56
 386,-15,-7,2,-50,-188,4030,-8,-4,-80
 387,-16,-5,3,-50,-191,4063,-7,14,-65
 388,-16,-6,2,-65,-187,4083,-19,1,-89
 389,-15,-7,2,-48,-183,4052,-7,-2,-92
 390,-17,-7,1,-64,-195,4052,-23,-13,-94
 391,-16,-5,1,-45,-189,4048,-4,-8,-70
 392,-13,-7,2,-51,-194,4076,2,-28,-92
 393,-16,-6,3,-44,-190,4046,-4,1,-61
 394,-14,-6,4,-50,-192,4057,-6,-12,-90
 395,-15,-6,2,-38,-193,4062,-8,18,-76
 396,-15,-7,3,-52,-196,4044,-16,-2,-80
 397,-15,-6,3,-53,-190,4038,-31,1,-86
 398,-15,-6,3,-48,-201,4040,-6,-2,-49
 399,-14,-5,3,-53,-189,4048,-3,19,-69
 400,-11,-5,1,-53,-191,4048,8,4,-85
 401,-11,-4,1,-49,-175,4034,-19,0,-79
 402,-11,-5,1,-49,-198,4069,-19,-28,-73
 403,-14,-6,2,-59,-204,4081,5,0,-64
 404,-13,-5,1,-43,-186,4059,-3,-5,-92
 405,-14,-5,1,-62,-198,4046,-4,-1,-93
 406,-15,-6,2,-50,-183,4044,-4,-8,-91
 407,-12,-6,1,-42,-190,4063,8,4,-111
 408,-11,-7,2,-43,-178,4034,-2,-28,-72
 409,-13,-5,2,-51,-193,4038,3,-1,-56
 410,-13,-7,3,-57,-188,4042,-12,-16,-28
 411,-17,-5,3,-61,-192,4054,-6,9,-122
 412,-14,-6,2,-57,-184,4068,-5,16,-98
 413,-14,-5,3,-44,-197,4058,-19,4,-70
 414,-16,-4,3,-45,-203,4057,-2,3,-32
 415,-14,-6,3,-51,-186,4044,10,14,-97
 416,-13,-5,3,-46,-189,4069,0,2,-106
 417,-13,-4,2,-55,-185,4040,-3,-34,-61
 418,-14,-5,3,-42,-186,4055,-14,1,-79
 419,-14,-5,2,-50,-202,4046,1,-2,-60
 420,-16,-6,3,-50,-178,4044,-17,2,-75
 421,-13,-6,3,-47,-172,4063,-7,-53,-76
 422,-13,-6,3,-54,-200,4061,-20,3,-61
 423,-14,-6,3,-48,-188,4058,4,2,-112
 424,-14,-6,3,-41,-196,4059,-1,-4,-84
 425,-13,-4,2,-56,-169,4085,-14,-8,-37
 426,-15,-5,2,-51,-196,4038,-7,5,-53
 427,-15,-4,3,-49,-182,4084,-3,-1,-83
 428,-16,-7,4,-46,-198,4040,-18,7,-91
 429,-14,-6,4,-60,-197,4072,-20,-13,-69
 430,-15,-6,3,-48,-205,4057,-8,12,-89
 431,-16,-5,2,-62,-183,4053,-6,2,-87
 432,-14,-5,1,-50,-198,4057,12,7,-80
 433,-15,-5,1,-51,-183,4045,-4,-3,-91
 434,-17,-6,2,-57,-191,4086,-3,-16,-91
 435,-16,-5,3,-61,-190,4064,-9,-4,-57
 436,-15,-6,3,-49,-199,4060,-12,7,-93
 437,-16,-5,2,-56,-195,4076,-6,26,-103
 438,-14,-6,2,-52,-196,4048,-6,3,-73
 439,-14,-6,3,-49,-194,4069,-38,-15,-89
 440,-12,-6,4,-35,-189,4032,4,3,-98
 441,-13,-6,2,-46,-194,4082,5,-7,-87
 442,-13,-7,2,-46,-179,4053,-11,11,-70
 443,-13,-6,1,-42,-196,4044,0,4,-67
 444,-13,-6,1,-51,-185,4055,-1,-5,-81
 445,-14,-7,2,-41,-187,4049,-9,3,-62
 446,-14,-5,2,-52,-198,4063,-12,-10,-75
 447,-14,-5,4,-44,-192,4085,-10,25,-67
